Rank,Dutch,English
1428,herstellen,to recover
1429,verschrikking,horror
1430,veiligheid,security
1431,bemanning,crew
1432,grommen,to roar
1433,dageraad,dawn
1434,natie,nation
1435,metaal,metal
1436,nerveus,nervous
1437,gevangenis,prison
1438,Verlaten,to abandon
1439,overal,anywhere
1440,dichter,poet
1441,zijn,sin
1442,naar gras,to grasp
1443,houding,attitude
1444,beveiligen,to secure
1445,verklaring,statement
1446,naakt,naked
1447,rekening,bill
1448,voorhoofd,brow
1449,moraliteit,moral
1450,rolle,role
1451,overvloed,plenty
1452,carrière,career
1453,staart,tail
1454,geboorte,birth
1455,toepassen,to apply
1456,officieel,official
1457,om te vertellen,to relate
1458,lot,fate
1459,vallei,valley
1460,verbeelding,imagination
1461,bang maken,to frighten
1462,markt,market
1463,vuist,fist
1464,naar ovens,to owe
1465,intentie,intention
1466,verbinding,connection
1467,serie,series
1468,moed,courage
1469,toren,tower
1470,meer,lake
1471,te voorschijn komen,to emerge
1472,inzetten,to bet
1473,film,movie
1474,rok,skirt
1475,huilen,to weep
1476,kamer,chamber
1477,proces,trial
1478,magie,magic
1479,motor,engine
1480,dank,thanks
1481,schrift,writing
1482,knop,button
1483,jagen,to hunt
1484,gewoon,ordinary
1485,uitbreiden,to extend
1486,om te redden,to spare
1487,theorie,theory
1488,normaal,normal
1489,vast,steady
1490,verlenen,to grant
1491,juni,June
1492,Jood,Jew
1493,tekst,text
1494,absoluut,absolutely
1495,eer,honour
1496,drijven,to float
1497,mysterie,mystery
1498,seizoen,season
1499,eigenaar,owner
1501,kleur,colour
1502,advies,advice
1503,bewonderen,to admire
1504,pet,cap
1505,vrijheid,freedom
1506,twee blikken,to glare
1507,verdienen,to deserve
1508,groeten,to greet
1509,knuffelen,to hug
1510,personeel,staff
1511,stoten,to thrust
1512,naderhand,afterwards
1513,afhankelijk zijn,to depend
1514,zwemmen,to swim
1515,zwembad,pool
1516,signaal,signal
1517,onschuldig,innocent
1518,hiel,heel
1519,generelt,generally
1520,gordijn,curtain
1521,bezit,possession
1522,foto,photograph
1523,nauwelijks,scarcely
1524,inheems,native
1525,grijs,grey
1526,formulier,blanket
1527,toestaan,to permit
1528,vies,dirty
1529,schande,shame
1530,ophouden,to cease
1531,ei,egg
1532,toelichting,explanation
1533,toehoorders,audience
1534,afschuwelijk,awful
1535,pijp,pipe
1536,te spannen,to strain
1537,kunstenaar,artist
1538,persen,to squeeze
1539,roman,Roman
1540,in beroep gaan,to appeal
1541,doek,cloth
1542,terreur,terror
1543,oosten,east
1544,sectie,section
1545,storen,to disturb
1546,rang,rank
1547,vriendschappelijk,friendly
1548,hongerig,hungry
1549,kruipen,to creep
1550,bezoeker,visitor
1551,overal,everywhere
1552,religieus,religious
1553,verkrijgen,to obtain
1554,vlees,meat
1555,meid,maid
1556,gerechtigheid,justice
1557,vooruitgang,progress
1558,schoot,lap
1559,boven,upstairs
1560,geloof,belief
1561,verbinden,to connect
1562,roman,novel
1563,spook,ghost
1564,streven,to aim
1565,gooien,to fling
1566,zaterdag,Saturday
1567,chirurgie,operation
1568,verlichten,to relieve
1569,meer,anymore
1570,draaft,despite
1571,taille,waist
1572,melk,milk
1573,omarmen,to embrace
1574,badkamer,bathroom
1575,ontmoeten,to encounter
1576,landgoed,estate
1577,voorgaand,previous
1578,draaien,to spin
1579,fictie,fiction
1580,groots,grand
1581,val,trap
1582,beïnvloeden,to affect
1583,truc,trick
1584,zijde,silk
1585,soepen,supper
1586,dronken,drunk
1587,wenk,hint
1588,vervangen,to replace
1589,verontwaardigd,harm
1590,elleboog,elbow
1591,om af te dalen,to descend
1592,twee verliezen,to tap
1593,veranda,porch
1594,opzwellen,to swell
1595,ups,upper
1596,politieagent,cop
1597,grootvader,grandfather
1598,oefening,exercise
1599,bibliotheek,library
1600,spier,muscle
1601,bevriezen,to freeze
1602,overstuur,to upset
1603,klagen,to complain
1604,Europa,Europe
1605,gunst,favor
1606,wortel,root
1607,beest,beast
1608,opstaan,to arise
1609,uitdaging,challenge
1610,douche,shower
1611,Grieks,Greek
1612,overal,throughout
1613,seksueel,sexual
1614,snaar,string
1615,limiet,limit
1616,religie,religion
1617,druk,pressure
1618,verdwijnen,to vanish
1619,gratie,grace
1620,groot,vast
1621,bekennen,to confess
1622,offer,sacrifice
1623,aankomst,arrival
1624,rukken,to jerk
1625,les,lesson
1626,heup,hip
1627,vertrekken,lad
1628,olie,oil
1629,patroon,pattern
1630,regelmatig,regular
1631,geweer,rifle
1632,gelukkig,lucky
1633,ezel,ass
1634,dof,dull
1635,bewust,conscious
1636,knoeien,mess
1637,kreunen,to groan
1638,konsekvens,consequence
1639,balans,balance
1640,beginsel,principle
1641,genegenheid,affection
1642,stroom,current
1643,kaars,candle
1644,stront,shit
1645,vlooien,to flee
1646,hoogte,height
1647,voorraad,stock
1648,ridder,knight
1649,klok,clock
1650,kasteel,castle
1651,hek,fence
1652,schuldig,guilty
1653,op te lossen,to resolve
1654,knielen,to kneel
1655,om te ontspannen,to relax
1656,tempel,temple
1657,behalve,besides
1658,tijdschrift,magazine
1659,favoriet,favorite
1660,gezeten,seated
1662,traditie,tradition
1663,waarderen,to appreciate
1664,wetenschap,science
1665,populair,popular
1666,grootmoeder,grandmother
1667,twee rillen,to shiver
1668,dagelijks,daily
1669,bespreking,discussion
1670,prins,prince
1671,betoveren,charm
1672,strippen,to strip
1673,om te besluiten,to conclude
1674,beschrijving,description
1675,plafond,ceiling
1676,struik,bush
1677,VALSE,FALSE
1678,intersted,interested
1679,van nabij,closely
1680,vastklampen,to cling
1681,bank,bench
1682,najagen,to pursue
1683,dapper,brave
1684,tevredenheid,satisfaction
1685,kruipen,to crawl
1686,literair,literary
1687,bloedig,bloody
1688,vergelijken,to compare
1689,buitenlands,foreign
1690,voorstellen,to propose
1691,om te informeren,to inquire
1692,verdriet,grief
1693,hulp,aid
1694,vriendschap,friendship
1695,om te crashen,to crash
1696,avontuur,adventure
1697,vechten,to stride
1698,cultuur,culture
1699,balk,beam
1700,veiligheid,safety
1701,mars,March
1702,bril,glasses
1703,evne,ability
1704,stevig,firmly
1705,begrip,understanding
1706,staal,steel
1707,zenuw,nerve
1708,engel,angel
1709,reus,giant
1710,achterdocht,suspicion
1711,onbekend,unknown
1712,schrikken,to startle
1713,gelijk,equal
1714,lachen,to gleam
1715,generatie,generation
1716,verzetten,to resist
1717,snikken,to sob
1718,När ooit,whenever
1719,spellen,spell
1720,reactie,reaction
1721,onderwijs,education
1722,bewijs,proof
1723,opwinden,to excite
1724,schijnen,to blink
1725,zweep,to whip
1726,identificeren,to identify
1727,kom,bowl
1728,blootstellen,to expose
1729,waarschuwing,warning
1730,diepte,depth
1731,hoofdstuk,chapter
1732,pijn doen,to ache
1733,nippen,to sip
1734,hard,heavily
1735,Italiaans,Italian
1736,wenkbrauw,eyebrow
1737,grinniken,to chuckle
1738,paleis,palace
1739,ernstig,seriously
1740,zich terugtrekken,to retreat
1741,schilderij,painting
1742,viktigheten,importance
1743,koningin,queen
1744,zwijgend,silently
1745,pols,wrist
1746,naar slib,to slam
1747,verantwoordelijkheid,responsibility
1748,helemaal,altogether
1749,kaak,jaw
1751,passagier,passenger
1752,juli,July
1753,bekwaamheid,skill
1754,missie,mission
1755,achtervolgen,to chase
1756,gewoonte,custom
1757,te verzorgen,to tend
1758,werkwijze,method
1759,koe,cow
1760,gretig,eager
1761,krijger,warrior
1762,koppelen,to clutch
1763,waarnemen,to perceive
1764,grot,cave
1765,lof,praise
1766,in staat,capable
1767,huren,to hire
1768,versie,version
1769,buur,neighbor
1770,verbergen,to conceal
1771,boren,to bore
1772,sympathie,sympathy
1773,draad,wire
1774,nieuwsgierigheid,curiosity
1775,twee verplicht,to oblige
1776,riem,belt
1777,relatief,relative
1778,notie,notion
1779,vastleggen,to capture
1780,om te schakelen,to switch
1781,divan,couch
1782,gang,corridor
1783,vertrekken,to depart
1784,ogenblikkelijk,instantly
1785,Spaans,Spanish
1786,bedreiging,threat
1787,zeer,highly
1788,tenslotte,eventually
1789,gebruiken,to employ
1790,afwezigheid,absence
1791,wanhoop,despair
1792,structuur,structure
1793,eenzaam,lonely
1794,dankbaar,grateful
1795,zich terugtrekken,to withdraw
1796,kaart,map
1797,meestal,mostly
1798,kussen,pillow
1799,zichtbaar,visible
1800,vaartuig,vessel
1801,minnares,mistress
1802,bevestigen,to attach
1803,delicaat,delicate
1804,verwarren,to confuse
1805,professioneel,professional
1806,warmte,warmth
1807,gebroken,broken
1808,uitputten,to exhaust
1809,dom,silly
1810,droefheid,sorrow
1811,zadel,saddle
1812,schade,damage
1813,mooi,rare
1814,verraden,to betray
1815,slapen,to slap
1816,erkennen,to acknowledge
1817,toga,gown
1818,solide,solid
1819,uiterst,extremely
1820,uitdrukking,phrase
1821,spijker,nail
1822,schoonmaken,to rent
1823,onderhouden,to maintain
1824,augustus,August
1825,indruk maken,to impress
1826,arbeider,worker
1827,kogel,bullet
1828,romp,trunk
1829,konkluderer,conclusion
1830,geweer,pistol
1831,huisje,cottage
1832,briljant,brilliant
1833,burger,citizen
1834,snel,rapidly
1835,fluiten,to whistle
1836,onlangs,recently
1837,wanhopig,desperate
1838,lichtjes,lightly
1839,verwarring,confusion
1840,lelijk,ugly
1841,verstand,intelligence
1842,bed,sofa
1843,schuren,to shed
1844,lieveling,darling
1845,pa,dad
1846,bries,breeze
1847,lika,equally
1848,band,tape
1849,te wagen,to venture
1850,krabben,to scratch
1851,geur,scent
1852,aantrekken,to attract
1853,ontwikkeling,development
1854,twee lammen,to halt
1855,vastspelden,to pin
1856,duwen,to shove
1857,medisch,medical
1858,helling,slope
1859,natuurlijk,naturally
1860,geestelijk,mental
1861,verdedigen,to defend
1862,verdienen,to earn
1863,bidden,to bid
1864,vuil,dirt
1865,schelp,shell
1866,kroon,crown
1867,geslaagd,successful
1868,deugd,virtue
1869,overstroming,flood
1870,portemonnee,purse
1871,poëzie,poetry
1872,poppen,to pop
1873,buik,belly
1874,totaal,total
1875,bevestigen,to confirm
1876,oordeel,judgment
1877,Enorme,enormous
1878,verpletteren,to crush
1879,basketbal,basket
1880,schuilplaats,shelter
1881,kloppen,to pat
1882,ansvarlig,responsible
1883,bewustzijn,consciousness
1884,Senaste,recent
1885,delen,to divide
1886,crimineel,criminal
1887,kostbaar,precious
1888,tamelijk,fairly
1889,aanmoedigen,to encourage
1890,grens,border
1891,oceaan,ocean
1892,bladeren,blade
1893,dij,thigh
1894,begrafenis,funeral
1895,afdeling,department
1896,ongebruikelijk,unusual
1897,twee overtuigingen,to persuade
1898,voertuig,vehicle
1899,vrezen,dread
1900,achtergrond,background
1901,standaard,standard
1902,televisie,television
1903,beschuldigen,to accuse
1904,helemaal,totally
1905,voordeel,benefit
1906,associëren,to associate
1907,twee renderen,to render
1908,klerk,clerk
1909,toestemming,permission
1910,wettelijk,legal
1911,kust,coast
1912,machtig,mighty
1913,angst,anxiety
1914,titel,title
1915,onderzoek,research
1916,redden,to rescue
1917,boer,farmer
1918,geweld,violence
1919,glimp,glimpse
1920,suggestie,suggestion
1921,kinderjaren,childhood
1922,twee zuchten,to suck
1923,dwaas,foolish
1924,beloning,reward
1925,haak,hook
1926,verduisteren,dim
1927,klant,client
1928,waardig,worthy
1929,mysterieus,mysterious
1930,strak,tightly
1931,wreed,cruel
1932,scherp,sharply
1933,kip,chicken
1934,gewaad,robe
1935,sensatie,sensation
1936,struikelen,to stumble
1937,instructie,instruction
1938,som,sum
1939,twee huiverden,to shudder
1940,meubilair,furniture
1941,vertraging,delay
1942,prestatie,performance
1943,opleiding,training
1944,mouw,sleeve
1945,schat,treasure
1946,duim,thumb
1947,om te springen,to dash
1948,zestig,sixty
1949,modder,mud
1950,te verslaan,to defeat
1951,lade,drawer
1952,verhalend,narrative
1953,oranje,orange
1954,knap,clever
1955,blozen,to blush
1956,plaats,site
1957,functie,function
1958,hardop,aloud
1959,kennismaking,acquaintance
1960,kapitaal,capital
1961,rijkdom,wealth
1962,identiteit,identity
1963,glorie,glory
1964,pik,cock
1965,troepen,troops
1966,baard,beard
1967,constante,constant
1968,mislukking,failure
1969,gastheer,host
1970,verkeer,traffic
1971,vrijdag,Friday
1972,blaffen,to bark
1973,vergeefs,vain
1974,spugen,to spit
1975,kilte,chill
1976,leerling,eleven
1977,beneden,downstairs
1978,arbeid,labor
1979,vermoeid,weary
1980,hervatten,to resume
1981,ceremonie,ceremony
1982,middernacht,midnight
1983,moe,tired
1984,vierde,fourth
1985,pijnlijk,painful
1986,hoek,angle
1987,revamp,useful
1988,reputatie,reputation
1989,baas,boss
1990,huishouden,household
1991,nabijgelegen,nearby
1992,afwachten,to await
1993,onmiddellijk,immediate
1994,hevig,violent
1995,buitengewoon,extraordinary
1996,broek,pants
1997,fonds,fond
1998,beschaamd,ashamed
1999,gehoorzamen,to obey
2000,werkelijk,actual
